player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3949,Manolo Gabbiadini,11,0,0,0.0,0,2,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4
5497,Gonzalo Gerardo Higuaín,90,6,0,0.304966997,1,23,18,0,4,0.222869028,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,5
5630,Dries Mertens,26,3,0,0.19240411799999999,0,9,7,0,1,0.06901549,1,0,3,1,0,0,0,0,1,1,0,1,1,0,0,7
5675,Kalidou Koulibaly,90,0,0,0.0,0,82,74,0,0,0.0,0,0,18,4,1,1,8,3,5,0,2,2,3,3,3,11
7024,Jorge Luiz Frello Filho,90,1,0,0.0377162,0,123,104,0,1,0.025963785,1,0,3,2,4,1,1,1,7,1,0,2,0,1,0,18
7025,Marek Hamšík,90,1,0,0.019796098,0,93,74,0,2,0.046560105,0,0,8,0,1,0,7,1,6,1,0,0,1,3,1,11
7028,José Manuel Reina Páez,90,0,0,0.0,0,20,16,0,0,0.0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0
7029,José María Callejón Bueno,64,3,0,0.173247034,1,27,18,0,2,0.04490416,0,0,6,1,4,0,1,0,3,1,1,1,2,0,0,8
7030,Raúl Albiol i Tortajada,90,0,0,0.0,0,91,84,0,0,0.0,0,0,19,0,2,2,4,2,4,0,1,1,2,3,0,8
7031,Elseid Hysaj,90,1,0,0.020434031,0,59,50,0,2,0.13311916,2,0,8,1,0,0,4,2,7,0,1,1,2,3,1,13
7035,Allan Marques Loureiro,79,0,0,0.0,0,53,48,0,1,0.044130955,2,0,5,2,3,0,0,0,6,1,2,2,4,0,0,16
7037,Lorenzo Insigne,89,4,1,0.144480033,1,40,32,0,1,0.071315296,2,0,5,0,0,0,0,0,1,3,0,1,1,0,0,4
8876,Faouzi Ghoulam,90,0,0,0.0,0,92,74,1,2,0.080031291,3,0,11,1,1,1,2,1,3,2,1,1,0,1,1,4
16495,Omar El Kaddouri,1,1,0,0.23223758,1,3,3,0,1,0.031381857,0,0,2,0,0,0,1,1,3,0,0,0,0,1,1,1
