player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5584,Giancarlo González Castro,3137,4,2,0.500923102,2,995,774,0,3,0.1962259576,2,2,133,26,10,8,75,16,92,6,237,44,71,32,5,240
5605,Oscar Hiljemark,2910,26,4,2.648434231,8,1311,982,5,41,3.681090644,34,19,117,30,17,7,91,23,153,32,30,17,56,41,8,701
5662,Thiago Rangel Cionek,450,1,0,0.056004245,0,144,119,0,0,0.0,2,2,19,8,8,6,17,5,21,3,15,9,8,9,4,89
6719,Franco Damián Vázquez,3183,106,8,8.2428836445,26,1555,1144,7,54,5.223646797900001,190,96,515,132,214,27,190,53,278,163,19,23,68,85,33,960
6993,Bryan Cristante,94,2,0,0.198376524,0,68,50,0,0,0.0,4,2,7,2,3,0,6,2,14,2,1,1,1,4,2,27
7055,Stefano Sorrentino,3097,0,0,0.0,0,1068,636,0,1,0.019012176,1,1,90,0,2,2,1,0,188,0,4,0,1,0,0,7
7461,Luca Rigoni,685,11,1,1.20689839,3,224,182,0,6,0.273550333,3,2,18,15,5,1,36,8,29,2,5,2,14,13,1,153
7792,Giuseppe Pezzella,595,2,0,0.040196142500000004,0,288,196,0,4,0.584785246,14,10,34,5,9,1,24,5,34,9,21,9,21,17,1,99
8102,Edoardo Goldaniga,1213,6,2,1.0524706536,2,363,253,0,2,0.472315904,2,1,77,23,21,13,50,16,50,5,89,34,28,23,8,141
8552,Robin Quaison,1514,20,1,1.1543138887,6,563,402,2,23,1.433748507,44,29,133,41,24,6,86,23,63,56,11,9,37,31,12,481
10032,Achraf Lazaar,2305,29,1,0.5850540001,8,1357,925,1,18,1.262446216,80,44,242,40,40,7,100,39,237,48,65,30,88,64,18,457
11519,Antonino La Gumina,67,3,0,0.14701006,1,14,11,0,0,0.0,1,0,3,1,0,0,6,0,1,2,0,3,1,0,0,12
23329,Abdelhamid El Kaoutari,630,1,1,0.19812727,1,271,225,0,2,0.317228096,4,2,44,3,5,4,27,12,47,2,23,10,18,20,2,127
23846,Uroš Đurđević,476,9,2,1.553650228,5,87,66,1,4,0.271297667,9,4,18,13,6,4,29,7,16,14,3,1,11,7,2,108
24061,Aljaž Struna,1856,7,1,0.731786747,2,926,705,0,8,0.624786069,9,4,124,45,8,4,72,25,77,6,52,15,55,46,12,336
25954,Enzo Maresca,988,11,1,0.752429086,3,675,559,0,9,0.4083596975,13,6,70,13,28,6,40,21,78,7,16,7,28,27,10,161
28974,Fabio Daprelà,154,1,0,0.0928616,0,78,59,0,0,0.0,0,0,8,4,2,2,5,2,9,2,1,0,1,3,2,13
29161,Josip Posavec,90,0,0,0.0,0,39,24,0,0,0.0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,1
30512,Aleksandar Trajkovski,1651,39,3,2.7201598393,15,551,414,1,23,1.640926302,47,24,157,38,39,7,51,10,101,67,5,9,19,16,6,411
30704,Gastón Brugman,968,16,0,0.60304088,2,610,498,1,15,1.3769240109999998,16,11,83,23,12,1,45,16,92,10,9,15,30,27,6,286
30735,Mato Jajalo,2032,20,0,1.167542982,3,1077,875,0,18,1.043438928,18,13,131,51,31,12,93,31,185,27,51,27,62,54,4,535
30769,Andrea Rispoli,1423,12,0,0.5604570035,2,780,552,4,17,1.55439805,17,10,139,21,12,4,39,12,93,25,36,25,34,22,6,178
30928,Roberto Vitiello,704,2,0,0.17324024,2,301,250,0,1,0.18696366,0,0,43,11,4,2,23,8,36,4,26,11,19,14,4,99
31268,Michel Morganella,1079,5,0,0.190858904,3,493,346,1,5,0.492941802,14,8,51,27,13,7,49,9,61,11,21,10,20,23,5,207
32722,Norbert Sándor Balogh,54,2,0,0.261789635,1,22,16,0,1,0.049664926,5,2,4,4,0,0,5,1,5,1,0,0,0,2,0,31
34315,Simone Colombi,90,0,0,0.0,0,18,11,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36465,Fabrizio Alastra,143,0,0,0.0,0,48,40,0,0,0.0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0
38389,Alberto Gilardino,2352,49,10,8.12197113,17,539,405,1,21,1.3861719249999997,24,9,36,48,45,19,162,3,82,62,17,1,31,4,2,290
40349,Ivaylo Chochev,1741,29,0,2.000277676,9,854,653,2,12,1.1929837650000001,13,8,122,29,19,8,97,36,100,12,39,39,49,52,12,538
40350,Siniša Anđelković,1933,3,0,0.566912607,0,591,465,1,3,0.63378022,2,1,46,20,21,17,68,25,51,2,99,16,55,37,14,229
40419,Accursio Bentivegna,11,0,0,0.0,0,6,4,0,0,0.0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,2
