player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5584,Giancarlo González Castro,90,0,0,0.0,0,24,22,0,0,0.0,0,0,1,0,0,0,2,1,2,0,7,1,6,2,0,12
5605,Oscar Hiljemark,90,0,0,0.0,0,45,36,1,1,0.08044199,0,0,3,1,0,0,1,0,3,1,2,1,0,1,0,20
5662,Thiago Rangel Cionek,90,0,0,0.0,0,33,29,0,0,0.0,1,1,9,1,4,2,3,2,5,0,4,3,1,3,2,22
6719,Franco Damián Vázquez,93,2,1,0.09973401100000001,1,38,19,0,0,0.0,6,3,15,6,3,0,2,1,4,3,1,0,4,1,1,29
7055,Stefano Sorrentino,90,0,0,0.0,0,20,8,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10032,Achraf Lazaar,35,0,0,0.0,0,21,18,0,0,0.0,0,0,3,0,1,0,1,0,3,0,2,1,0,0,0,6
25954,Enzo Maresca,90,2,1,0.182031054,1,74,62,0,0,0.0,0,0,15,2,5,1,2,2,12,0,1,0,1,2,0,13
30512,Aleksandar Trajkovski,55,0,0,0.0,0,18,17,0,2,0.063806815,0,0,6,2,3,0,1,1,3,1,0,0,3,1,1,20
30769,Andrea Rispoli,82,0,0,0.0,0,43,30,2,2,0.52396944,1,0,8,1,0,0,2,2,9,1,1,0,0,2,2,9
30928,Roberto Vitiello,8,0,0,0.0,0,2,2,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
31268,Michel Morganella,90,0,0,0.0,0,9,6,0,0,0.0,0,0,2,1,0,0,1,0,1,0,2,2,0,0,0,9
38389,Alberto Gilardino,90,1,1,0.38645318,1,13,8,0,0,0.0,0,0,1,3,3,0,3,0,3,1,0,0,2,0,0,10
40350,Siniša Anđelković,90,0,0,0.0,0,28,26,0,0,0.0,0,0,0,1,1,1,1,0,3,0,5,1,3,1,0,16
