player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
6334,Luis Fernando Muriel Fruto,1690,56,6,5.51849099,20,512,367,5,26,2.929225745,94,45,134,30,41,7,87,10,86,55,1,6,9,17,5,314
6759,Roberto Soriano,2823,54,8,4.69454265,23,1354,1137,4,27,3.559644631,59,32,363,67,52,9,120,42,169,41,53,27,55,67,19,583
6822,Carlos Joaquín Correa,1328,35,3,3.9329493802999997,14,652,529,1,21,1.444661861,70,36,203,18,43,7,50,9,85,41,8,16,15,21,5,332
6990,Milan Škriniar,180,0,0,0.0,0,77,72,0,0,0.0,1,1,7,2,1,1,7,2,8,2,5,1,3,4,2,18
7000,Eder Citadin Martins,1640,57,12,7.602194592,23,508,396,3,19,2.0775571506,37,17,151,27,33,3,53,13,88,41,6,11,24,20,7,244
7009,Édgar Osvaldo Barreto Cáceres,2160,18,0,0.942801496,2,1025,846,1,13,0.7848404645,10,4,59,36,26,6,90,53,91,10,29,26,46,75,17,649
7011,Fabio Quagliarella,1223,51,3,4.442608334,22,287,197,1,11,1.452817635,11,7,38,17,20,6,63,6,43,18,20,2,24,10,3,267
7012,Vasco Regini,1205,8,0,0.6704633289999999,1,603,498,0,1,0.026310427,12,5,113,20,15,6,52,20,45,6,43,8,35,37,7,251
7018,Emiliano Viviano,3330,0,0,0.0,0,1331,818,0,1,0.028241383,0,0,101,0,8,6,0,0,198,0,0,0,2,0,0,8
7019,Matías Agustín Silvestre,1974,4,0,0.303580468,3,1015,870,0,1,0.032169856,6,6,145,33,17,15,54,11,75,3,119,16,49,23,4,259
7020,Jacopo Sala,196,0,0,0.0,0,111,89,0,1,0.1239486,2,1,25,5,2,1,13,6,15,0,2,0,4,9,4,44
7137,Ervin Zukanović,1331,10,3,0.861576168,4,694,575,0,3,0.100438953,2,2,128,14,6,5,34,5,75,3,107,12,39,8,3,105
7473,Lorenzo De Silvestri,1392,12,1,2.040670787,4,756,506,2,13,0.868128664,9,7,91,33,20,12,40,7,54,10,46,14,51,13,2,189
7773,Federico Bonazzoli,73,1,0,0.034098692,1,23,21,0,1,0.0225254,1,1,5,1,3,0,3,2,2,3,0,0,2,2,2,13
7804,Alberto Brignoli,90,0,0,0.0,0,44,19,0,0,0.0,0,0,2,0,1,1,0,0,5,0,0,0,0,0,0,0
7962,Andrea Ranocchia,1206,9,0,0.978446637,1,535,438,0,1,0.0061985245,4,3,70,21,16,9,43,12,40,2,64,15,31,23,8,131
8423,Pedro Miguel Almeida Lopes Pereira,642,2,0,0.042660514,1,296,232,1,2,0.609611393,16,6,52,8,5,1,33,11,32,12,25,6,25,21,3,123
8875,Ricardo Gabriel Álvarez,806,15,1,0.8963219425,6,415,332,1,15,0.838515366,44,28,117,27,23,0,38,10,57,29,10,11,23,17,2,275
9884,Niklas Moisander,1779,2,0,0.098550015,1,863,741,0,5,0.20476798599999999,5,5,112,20,9,7,56,19,70,1,113,19,42,29,9,195
11339,Paweł Wszołek,12,0,0,0.0,0,8,6,0,0,0.0,2,2,5,0,1,0,2,1,1,0,0,0,0,1,1,0
15318,Lazaros Christodoulopoulos,355,6,1,0.334652286,2,164,124,0,0,0.0,10,4,47,8,10,3,11,2,25,7,2,5,10,5,0,56
15959,Nenad Krstičić,543,4,0,0.123796624,0,301,249,1,5,0.6670482090000001,7,4,23,15,7,1,26,11,28,3,9,7,21,19,7,153
16586,Fernando Lucas Martins,2982,48,4,2.5662533386,13,2190,1834,2,58,4.147765193,40,25,215,76,73,14,108,50,229,30,43,74,95,78,23,662
19850,Antonio Cassano,1216,18,2,2.539242795,6,814,554,3,36,3.814533075,23,10,69,10,54,8,27,4,57,34,2,2,9,8,1,145
22822,Alejandro Miguel Rodriguez,44,0,0,0.0,0,3,1,0,0,0.0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,11
25505,José Rodolfo Pires Ribeiro,1422,11,0,0.45483464500000004,2,637,497,1,16,1.8277462393,45,26,121,16,28,1,44,10,75,15,31,30,37,24,1,214
27595,Carlos Mario Carbonero Mancilla,1032,6,0,0.6928814529999999,1,544,459,2,13,1.427392014,30,17,83,31,25,4,60,29,70,18,13,12,35,38,16,293
31265,Michele Rocca,30,0,0,0.0,0,15,7,0,0,0.0,0,0,5,0,0,0,2,1,4,1,2,0,2,1,0,5
36364,Dávid Ivan,1109,5,1,0.286417325,1,547,455,0,10,0.480783576,8,2,88,21,14,3,78,32,42,9,26,17,29,58,11,345
40321,Andrea Coda,121,0,0,0.0,0,70,59,0,0,0.0,0,0,3,2,1,1,7,2,4,1,9,2,2,4,0,18
40394,Djamel Eddine Mesbah,585,2,0,0.046798316,0,276,220,0,4,0.254612231,7,1,45,7,9,4,15,6,22,4,18,6,17,10,1,55
40429,Angelo Palombo,383,1,0,0.0085331565,0,206,166,0,0,0.0,3,2,17,0,12,6,5,2,23,2,8,7,11,3,0,72
44395,Andrés Fabián Ponce Núñez,5,0,0,0.0,0,3,2,0,0,0.0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,2
174418,Modibo Diakité,651,1,0,0.025706023,0,235,178,0,0,0.0,2,2,37,10,4,2,12,5,26,2,36,11,25,10,2,66
387417,Mattia Cassani,2063,3,0,0.260817902,0,1130,899,1,8,0.621992172,16,10,184,38,20,10,45,16,86,4,83,35,38,30,8,233
