player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5461,Šime Vrsaljko,3065,9,0,0.539269016,1,2055,1547,3,38,2.86397497,38,24,275,61,56,20,116,34,194,28,139,49,80,76,10,428
6859,Nicola Sansone,2547,63,7,5.6703784388,23,1026,758,4,47,4.5978173038,98,47,220,53,68,13,76,14,113,76,10,16,42,26,6,544
6948,Sergio Floccari,437,20,4,2.0639326799999997,10,92,72,0,4,0.27540187,10,4,18,12,10,3,32,7,18,12,3,2,5,7,5,119
6963,Lorenzo Pellegrini,1148,24,3,2.6601836605,10,614,471,0,13,0.48672705980000003,28,16,83,35,29,10,60,15,78,16,15,15,22,27,4,307
6978,Marcello Trotta,199,12,1,1.715298766,4,50,38,0,2,0.111959388,5,3,5,4,1,0,10,1,9,2,1,2,3,1,0,50
7109,Matteo Politano,1038,43,5,2.802093611,12,445,320,2,18,0.991706651,51,19,137,14,20,5,45,5,69,36,5,9,12,10,3,222
7113,Simone Missiroli,1893,13,2,1.634248954,4,992,748,0,16,0.7288744675,27,13,172,37,48,16,105,35,126,23,46,40,72,54,18,474
7118,Federico Peluso,3037,19,1,1.535813629,4,1653,1238,1,21,1.740469176,35,9,168,57,38,14,103,41,113,20,124,61,110,72,15,432
7119,Francesco Acerbi,3240,14,4,2.474009047,8,1844,1617,0,3,0.021184981999999998,16,14,289,20,29,14,97,30,228,6,205,62,66,52,13,305
7120,Claud Adjapong,20,0,0,0.0,0,13,12,0,0,0.0,0,0,0,1,0,0,3,0,1,0,1,0,1,2,0,3
7123,Gianluca Pegolo,150,0,0,0.0,0,62,42,0,0,0.0,0,0,6,0,0,0,0,0,12,0,0,0,1,0,0,1
7127,Francesco Magnanelli,3060,18,1,0.4853713914,4,2381,1979,1,30,0.9581685123,16,12,180,79,96,36,147,66,305,34,99,53,77,86,29,824
7131,Domenico Berardi,2222,88,7,9.0989050553,31,1076,712,6,37,2.881787291,71,36,215,45,85,15,94,18,111,53,16,31,56,41,8,485
7132,Andrea Consigli,3330,0,0,0.0,0,1316,953,0,0,0.0,1,1,67,2,7,7,0,0,193,0,0,0,1,0,0,2
7457,Gregoire Defrel,2062,52,7,6.111243991,15,583,480,4,26,1.925048367,46,21,125,47,48,17,139,15,97,46,13,7,30,16,10,559
7698,Joseph Alfred Duncan,2485,39,1,1.7601477098,5,1284,929,5,50,7.160115043999999,70,38,175,47,21,4,131,45,183,55,22,22,87,68,21,656
8093,Diego Falcinelli,1117,25,2,2.7331859929999998,7,224,174,1,16,1.298726918,17,10,35,33,34,11,92,7,34,35,4,2,18,12,2,325
8848,Paolo Cannavaro,2643,5,0,0.1290827068,0,1085,874,1,5,0.22677302900000001,9,7,120,26,31,18,71,21,105,6,145,36,61,35,8,226
10030,Davide Biondini,1107,7,0,0.58576293,1,512,363,0,7,0.8606376139999999,11,6,51,20,20,6,39,11,64,9,25,10,25,17,2,289
10031,Marcello Gazzola,480,2,0,0.23196197000000002,1,222,178,1,1,0.18026482,3,2,20,4,2,1,11,1,15,1,16,5,14,4,1,70
10033,Luca Antei,341,0,0,0.0,0,169,137,1,1,0.20719635,0,0,15,6,5,3,22,8,19,0,19,4,8,16,3,51
13612,Lorenzo Ariaudo,236,0,0,0.0,0,81,69,0,0,0.0,0,0,7,2,3,1,8,2,9,0,18,3,7,2,0,12
27110,Antonio Floro Flores,633,31,3,2.2001769007000003,9,265,176,2,12,0.83150318,32,18,72,4,23,7,40,8,31,20,6,3,12,12,6,86
30941,Karim Laribi,483,10,0,0.408505293,3,281,202,0,11,0.8975599774999999,8,3,36,5,7,1,28,4,32,6,5,2,14,10,1,124
32903,Emanuele Terranova,337,0,0,0.0,0,133,122,0,0,0.0,1,1,12,4,2,1,9,2,9,0,28,4,8,2,1,29
387420,Alessandro Longhi,310,1,0,0.016861618,0,179,135,1,2,0.2914539004,1,1,13,4,2,1,11,2,17,4,13,1,5,3,1,29
