player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3034,Kamil Glik,2970,20,0,1.6585549544,7,1657,1474,0,3,0.6599389959999999,6,4,241,55,50,34,99,31,97,4,199,35,62,46,9,342
3125,Danilo Fernando Avelar,344,4,0,0.270619467,0,192,117,2,8,0.6577807009999999,3,1,16,7,7,4,15,5,14,3,7,2,11,11,3,56
3660,Davide Zappacosta,1267,15,1,0.5841393035,1,750,550,1,14,0.762372705,44,12,146,27,10,2,31,8,72,17,17,12,33,19,5,298
4407,Sanjin Prcić,29,0,0,0.0,0,18,14,0,2,0.105976227,1,1,3,2,0,0,3,1,2,0,0,3,2,1,0,10
4709,Pontus Jansson,615,6,1,0.319053936,2,351,326,0,2,0.043659565,1,1,59,4,2,2,18,0,21,1,25,9,14,5,0,58
6965,Bruno da Silva Peres,2591,40,3,1.5192303614,18,1262,1026,4,33,3.911643468,128,80,419,27,37,8,85,40,160,53,33,32,42,61,20,455
7011,Fabio Quagliarella,1349,50,5,5.557958753,19,307,202,0,7,0.6496782130000001,19,9,49,27,29,9,53,11,54,25,5,1,21,14,7,323
7149,Marco Benassi,1910,47,3,2.7095739365,17,661,478,2,22,2.7095082406,27,15,136,40,20,6,75,21,110,26,21,18,46,35,7,428
7465,Daniele Baselli,2265,33,4,2.9188029,14,903,679,2,52,4.1037978009,76,42,214,56,41,5,85,34,154,57,16,34,44,57,18,631
7466,Simone Edera,6,0,0,0.0,0,1,1,0,0,0.0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1
7470,Joel Chukwuma Obi,490,3,1,0.25885263000000003,3,184,140,0,6,0.19545189899999998,7,2,36,17,15,6,28,10,18,8,2,3,18,21,1,164
7471,Andrea Belotti,2594,73,12,13.219333724,32,536,413,3,25,2.9369720740000003,38,19,158,69,105,26,153,31,115,48,10,11,47,46,10,563
7474,Afriyie Acquah,1889,24,2,0.9222500709,8,702,514,3,25,2.143604899,53,28,272,48,45,7,61,14,152,34,18,16,45,29,9,342
7476,Emiliano Moretti,3150,13,1,0.977098753,6,2049,1797,1,14,0.7775789364,3,2,293,35,31,16,99,29,125,3,103,24,55,59,9,364
7479,Cristian Molinaro,1990,13,1,0.6131734955,1,1093,841,0,22,2.025961404,49,26,195,33,27,10,74,25,91,18,44,31,42,56,11,367
7788,Ciro Immobile,986,37,5,5.714245088,12,273,183,2,21,1.749404233,34,16,111,21,20,4,27,6,50,21,3,2,11,9,4,180
8193,Maximiliano Gastón López,1091,26,4,5.3677922105,13,210,134,2,12,0.595520822,17,13,29,57,13,3,71,8,39,26,2,2,8,12,3,204
12619,Josef Alexander Martínez Mencia,923,35,3,4.977208778,11,154,125,1,14,0.8239951964,10,7,38,20,16,7,46,8,16,5,0,2,9,12,5,140
16202,Nikola Maksimović,1440,2,0,0.143812667,0,832,687,1,15,0.9329741500000001,23,15,211,18,15,6,57,29,76,7,61,25,23,46,12,202
22271,Salvador Ichazo Fernández,270,0,0,0.0,0,98,62,0,0,0.0,0,0,8,0,0,0,0,0,21,0,0,0,0,0,0,1
27328,Alexander Farnerud,95,2,0,0.025844471,0,69,53,0,3,0.215148839,2,1,13,2,1,0,4,0,6,2,0,0,1,1,0,16
28289,Gastón Alexis Silva Perdomo,894,7,0,0.17029904299999998,2,527,419,1,11,0.650904004,15,7,56,17,9,3,44,18,44,3,22,16,37,29,5,186
34881,Daniele Padelli,3150,0,0,0.0,0,1073,803,0,1,0.036764536,2,2,27,0,3,0,0,0,148,0,1,0,1,0,0,3
40351,Alessandro Gazzi,972,2,0,0.14692644,1,608,517,0,10,0.244548662,4,3,42,30,8,5,44,9,56,7,35,31,27,13,3,146
40427,Cesare Bovo,1789,10,2,0.4141189996,3,1325,1102,0,14,1.144677459,8,7,147,35,5,3,52,18,72,2,77,29,32,33,4,233
40430,Giuseppe Vives,2549,16,1,0.4832544842,8,1438,1205,1,18,1.422709862,15,11,215,60,30,9,170,67,186,20,75,40,46,101,17,695
387428,Amauri Carvalho de Oliveira,9,0,0,0.0,0,4,3,0,1,0.017191092,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
