player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3034,Kamil Glik,90,0,0,0.0,0,69,62,0,0,0.0,0,0,3,1,3,2,2,1,0,0,7,1,1,1,0,7
6965,Bruno da Silva Peres,90,1,0,0.008905119,0,53,44,0,0,0.0,6,4,17,0,0,0,3,2,5,4,1,2,2,2,2,13
7465,Daniele Baselli,90,0,0,0.0,0,32,24,0,1,0.0934203,2,1,6,2,1,0,7,2,4,4,0,1,2,5,1,33
7470,Joel Chukwuma Obi,79,0,0,0.0,0,30,23,0,1,0.048082475,1,1,6,3,2,0,6,2,3,0,0,0,4,4,0,29
7471,Andrea Belotti,90,1,1,0.7835,1,12,11,0,1,0.043312963,1,1,3,5,4,0,7,1,2,2,0,1,3,3,0,20
7476,Emiliano Moretti,90,0,0,0.0,0,94,86,0,0,0.0,0,0,10,1,1,1,5,0,2,0,2,1,2,4,0,9
7479,Cristian Molinaro,90,0,0,0.0,0,40,31,0,1,0.09613989,0,0,5,2,0,0,4,2,4,0,1,3,0,3,0,21
12619,Josef Alexander Martínez Mencia,90,3,0,0.232873153,1,6,5,0,0,0.0,0,0,2,1,1,1,4,2,0,1,0,0,0,2,1,16
27328,Alexander Farnerud,11,0,0,0.0,0,5,4,0,0,0.0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,2
34881,Daniele Padelli,90,0,0,0.0,0,29,24,0,0,0.0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
40351,Alessandro Gazzi,21,0,0,0.0,0,14,12,0,0,0.0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1
40427,Cesare Bovo,90,0,0,0.0,0,79,73,0,1,0.008905119,1,1,6,1,1,0,2,0,7,1,5,2,0,2,0,10
40430,Giuseppe Vives,69,1,0,0.048082475,1,57,51,0,0,0.0,1,0,6,0,3,1,5,2,7,3,3,0,2,3,1,16
