player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3577,Molla Wagué,1715,11,0,0.915064997,2,627,507,0,4,0.610358747,2,1,68,32,22,12,72,23,69,3,96,34,42,39,12,288
3742,Orestis Karnezis,3420,0,0,0.0,0,1095,622,0,0,0.0,0,0,95,0,5,3,0,0,178,0,1,0,1,0,0,6
5204,Bruno Miguel Borges Fernandes,2108,53,3,3.3472867891,16,1135,799,4,41,3.2696496189,55,30,170,27,52,12,87,21,145,38,27,34,58,40,12,446
5512,Emil Hallfreðsson,662,5,0,0.29520687300000004,1,270,188,0,5,0.467066032,6,4,34,25,9,4,32,7,46,6,15,6,18,14,2,201
6577,Zdravko Kuzmanović,1132,8,0,0.708043461,0,578,480,0,8,0.2388724867,11,6,61,32,12,2,28,8,79,6,16,9,19,11,3,239
6729,Guilherme dos Santos Torres,339,6,0,0.076908506,1,229,176,0,5,0.15292596,3,1,18,10,8,3,12,3,22,5,7,1,14,5,2,80
6743,Manuel Rolando Iturra Urrutia,1024,4,0,0.6321217189999999,1,448,371,0,5,0.198985737,9,7,44,30,24,9,49,28,58,13,15,12,31,38,14,335
6938,Felipe Dias da Silva dal Belo,2152,11,1,1.653977238,5,879,691,1,4,1.0285511,8,6,85,49,18,12,109,41,88,4,125,41,66,73,11,392
7017,Duván Esteban Zapata Banguera,1516,52,8,7.1959504525,14,326,211,2,10,0.892936378,35,15,87,48,47,14,106,4,69,58,13,9,34,8,3,259
7696,Ryder Matos Santos,413,3,0,0.58309792,1,118,88,1,6,0.680460905,7,6,36,15,15,3,23,1,26,17,2,0,6,2,0,106
7796,Silvan Widmer,1907,23,0,2.200888622,8,905,601,2,17,2.013289665,37,18,150,35,30,9,86,21,97,14,48,18,59,38,9,430
7799,Danilo Larangeira,3060,14,0,0.899870322,5,1223,935,0,2,0.07836099499999999,3,3,112,48,25,20,93,23,123,7,193,39,83,35,7,385
7805,Stipe Perica,466,16,2,1.1997238080000001,7,91,61,0,3,0.09873471,20,10,18,14,11,6,38,1,18,15,3,2,12,1,0,101
8191,Ali Adnan Kadhim Al Tameemi,1903,23,1,0.4718176303,4,1002,655,1,20,1.74880948,48,33,141,39,29,10,95,48,111,35,59,31,63,66,31,347
8272,Cyril Théréau,2948,76,11,10.8017128935,34,1214,909,3,49,4.8638254192,73,37,266,32,69,28,161,9,112,60,24,9,45,16,4,564
8852,Thomas Heurtaux,1077,2,0,0.038341088,0,389,310,0,1,0.023047987,5,2,51,20,14,12,38,9,34,5,65,18,30,23,2,197
15161,Alexander Merkel,57,1,0,0.0067852833,0,38,26,0,0,0.0,0,0,5,3,0,0,7,4,1,0,0,1,1,6,3,31
19846,Antonio Di Natale,1151,33,2,4.6954843440000005,13,345,221,3,25,3.2018649590000003,8,5,30,5,11,2,17,3,29,9,2,2,10,4,0,118
24722,Emmanuel Agyemang-Badu,2661,41,4,4.502747493999999,12,932,721,1,21,1.4965627236999999,46,25,204,30,90,15,159,26,183,37,42,22,58,41,11,516
25116,Edenílson Andrade dos Santos,2207,12,0,0.80415409,3,1209,883,0,24,2.9169046874999998,73,33,139,29,26,5,78,19,148,36,36,45,63,44,8,430
27044,Marco Antônio De Mattos Filho,452,9,0,0.42734670599999997,2,218,166,0,6,0.362597267,11,10,34,12,7,3,25,8,31,6,7,9,9,13,4,139
29312,Pablo Estífer Armero,417,2,1,1.02908127,1,176,124,0,2,0.063589336,4,2,22,9,6,4,13,5,24,3,9,7,13,8,3,54
33529,Panagiotis Giorgios Kone,251,10,0,0.605154659,5,120,102,1,4,0.40591123500000004,5,2,38,10,6,0,10,6,22,4,0,4,2,7,3,65
37999,Rodrigo Sebastián Aguirre Soto,338,9,0,1.3130519115000001,1,68,43,1,5,0.72310692,8,5,25,11,12,3,23,6,15,8,2,1,7,7,3,96
40367,Francesco Lodi,1869,25,1,1.147902641,8,1378,1067,1,34,2.5140268933,12,8,133,21,14,6,36,14,122,16,26,17,29,18,5,363
46670,Iván Rodrigo Piris Leguizamón,1870,4,0,0.050829869,1,853,683,0,7,0.45114424,13,11,102,41,18,10,87,31,92,10,70,44,46,49,12,388
386654,Maurizio Domizzi,270,1,0,0.054583576,0,155,123,0,2,0.19503674599999998,0,0,20,8,1,1,10,2,6,1,13,2,3,5,0,19
386656,Giovanni Pasquale,235,0,0,0.0,0,124,89,0,2,0.110494135,3,1,19,5,0,0,10,3,13,0,3,4,6,7,1,29
