player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3577,Molla Wagué,90,2,0,0.102421504,0,23,17,0,0,0.0,0,0,0,2,0,0,4,0,3,0,3,2,2,0,0,9
3742,Orestis Karnezis,90,0,0,0.0,0,37,18,0,0,0.0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0
5204,Bruno Miguel Borges Fernandes,22,0,0,0.0,0,9,6,0,0,0.0,0,0,1,0,1,0,0,0,2,1,0,1,2,0,0,5
6577,Zdravko Kuzmanović,68,0,0,0.0,0,19,15,0,1,0.008901105,1,0,0,2,0,0,0,0,3,0,0,1,1,0,0,19
6729,Guilherme dos Santos Torres,58,3,0,0.02454972,0,32,17,0,3,0.118252624,0,0,4,0,2,0,3,1,7,1,2,1,4,1,1,16
7017,Duván Esteban Zapata Banguera,53,0,0,0.0,0,9,7,0,0,0.0,0,0,1,0,2,2,4,1,2,3,0,0,1,1,0,6
7799,Danilo Larangeira,90,1,0,0.01583112,0,22,15,0,0,0.0,0,0,1,1,0,0,0,0,3,0,2,0,1,0,0,9
8191,Ali Adnan Kadhim Al Tameemi,90,1,0,0.008901105,0,36,21,0,1,0.09390744,2,2,7,0,1,1,4,0,10,0,7,2,5,0,0,12
8272,Cyril Théréau,90,1,0,0.09390744,1,28,20,0,1,0.09897033,4,2,8,1,0,0,6,0,3,1,2,0,2,0,0,22
8852,Thomas Heurtaux,37,0,0,0.0,0,2,2,0,0,0.0,0,0,0,0,2,2,0,0,0,0,2,0,3,0,0,5
24722,Emmanuel Agyemang-Badu,90,3,0,0.130729458,0,17,9,0,0,0.0,3,0,7,1,5,2,5,1,10,1,2,0,2,1,0,22
25116,Edenílson Andrade dos Santos,90,0,0,0.0,0,31,18,0,0,0.0,4,2,5,2,3,0,0,0,6,0,4,5,3,0,0,11
40367,Francesco Lodi,32,0,0,0.0,0,17,12,0,0,0.0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,4
46670,Iván Rodrigo Piris Leguizamón,90,0,0,0.0,0,23,17,0,0,0.0,0,0,1,0,1,1,3,1,1,0,6,4,1,1,0,18
